date,策略净值,等权基准净值
2023-08-16,20249910.009891067,14128038.00260483
2023-08-17,20284120.349891067,14145346.828378364
2023-08-18,20514923.459891066,14253510.27076573
2023-08-21,20845109.179891065,14392132.061843293
2023-08-22,20807934.579891067,14398023.873210086
2023-08-23,20733189.489891063,14401939.999410553
2023-08-24,20697112.249891065,14422011.090948796
2023-08-25,20820803.06989107,14459453.810142808
2023-08-28,20965708.289891068,14534451.516504576
2023-08-29,20995200.219891064,14557958.136126019
2023-08-30,21174187.239891063,14643309.059340017
2023-08-31,21336414.89748107,14728804.775571257
2023-09-01,21303734.437481068,14777574.016111486
2023-09-04,21173578.697481066,14776354.452526568
2023-09-05,21069041.25748107,14761501.501219539
2023-09-06,21147035.837481067,14818296.894566339
2023-09-07,21083302.99748107,14820369.334662251
2023-09-08,20868812.17748107,14741551.764308035
2023-09-11,20985809.13748107,14771484.954566166
2023-09-12,21082539.377481066,14840459.918085676
2023-09-13,20949303.35748107,14772751.340690348
2023-09-14,21006590.777481064,14805160.497745693
2023-09-15,21229695.977481067,14894769.766746463
2023-09-18,21113604.517481066,14864618.403198754
2023-09-19,21043891.45748107,14843382.064707268
2023-09-20,21044537.67748107,14813648.503619147
2023-09-21,20980086.57748107,14765928.898862068
2023-09-22,20917411.937481068,14728710.102900809
2023-09-25,20919161.137481064,14729803.104952201
2023-09-26,20802056.21748107,14686577.22248805
2023-09-27,20756910.75748107,14654255.116649766
2023-09-28,20737054.32211992,14620751.637553364
2023-10-09,19879860.915119924,14236782.406510407
2023-10-10,20168633.086719923,14215259.866575679
2023-10-11,20131217.09841992,14141500.388381513
2023-10-12,20070707.12451992,14118392.24994077
2023-10-13,20379627.186719917,14245801.255258914
2023-10-16,20631344.036619917,14364673.068975354
2023-10-17,20635376.72301992,14370523.737765994
2023-10-18,20906156.31461992,14464647.975929553
2023-10-19,20990954.72201992,14468117.536570197
2023-10-20,21235498.31201992,14552109.955364503
2023-10-23,21004858.96541992,14445457.996177023
2023-10-24,20811816.40261992,14344218.453422032
2023-10-25,20738201.763819918,14401289.349715553
2023-10-26,20848242.07811992,14422384.202542642
2023-10-27,20913140.79921992,14456173.293129142
2023-10-30,20835111.536119923,14537087.813468086
2023-10-31,20742120.75760012,14491804.0873951
2023-11-01,20582697.134000115,14421385.985282386
2023-11-02,20612506.988700118,14471128.102487495
2023-11-03,20630429.697900116,14523812.872928418
2023-11-06,20632741.87280012,14581929.637381995
2023-11-07,20496414.18790012,14555851.028015032
2023-11-08,20259231.550000116,14440615.128073068
2023-11-09,20209163.62880012,14434357.182565697
2023-11-10,20234209.24470012,14412415.31964405
2023-11-13,20183875.55760012,14371425.412658611
2023-11-14,20251379.21630012,14455105.825826615
2023-11-15,20379912.810000118,14503923.82215749
2023-11-16,20401356.56050012,14473268.25642941
2023-11-17,20437887.39960012,14445578.033841759
2023-11-20,20376399.31300012,14409421.17796052
2023-11-21,20343661.194900118,14389873.501496619
2023-11-22,20357744.392100118,14325607.892293084
2023-11-23,20321679.77120012,14242150.766831104
2023-11-24,20324701.438700117,14250571.092879552
2023-11-27,20573586.90060012,14237553.887859557
