date,策略净值,银行ETF基准净值,芯片ETF基准净值
2024-11-14,18807.21,17539.491916859122,19492.18123496391
2024-11-15,18347.64,17477.043879907622,18555.232558139534
2024-11-18,18402.239999999998,17827.71362586605,18237.26944667201
2024-11-19,18668.27,17779.676674364895,18884.923817161187
2024-11-20,18631.11,17693.210161662817,18910.986367281475
2024-11-21,18708.050000000003,17672.794457274827,19106.45549318364
2024-11-22,18120.66,17282.494226327944,18297.213311948675
2024-11-25,18040.72,17310.11547344111,18086.106655974338
2024-11-26,18093.44,17478.24480369515,17992.2814755413
2024-11-27,18516.4,17658.38337182448,18701.18283881315
2024-11-28,18508.25,17628.36027713626,18720.729751403367
2024-11-29,18718.379999999997,17629.56120092379,19183.34001603849
2024-12-02,18714.699999999997,17564.711316397228,19256.315156375298
2024-12-03,18748.88,17839.72286374134,18987.870890136328
2024-12-04,18731.03,17861.33949191686,18921.41138732959
2024-12-05,18730.28,17827.71362586605,18961.80834001604
2024-12-06,18948.22,18035.473441108545,19183.34001603849
2024-12-09,18830.14,18089.51501154734,18854.951884522856
2024-12-10,19032.29,18291.270207852194,19049.117882919003
2024-12-11,18899.36,18076.304849884527,19024.35846030473
2024-12-12,19106.620000000003,18306.88221709007,19193.765036086606
2024-12-13,18739.92,17940.600461893762,18841.920609462708
2024-12-16,18660.75,18112.332563510394,18452.285485164393
2024-12-17,18532.61,18071.50115473441,18220.328789093826
2024-12-18,18879.35,18281.66281755196,18723.336006415397
2024-12-19,18943.86,18111.131639722862,19079.089815557338
2024-12-20,19270.190000000002,18088.314087759813,19828.388131515636
2024-12-23,19265.46,18387.3441108545,19443.965517241377
2024-12-24,19569.65,18635.93533487298,19804.931836407377
2024-12-25,19724.1,18838.89145496536,19892.241379310344
2024-12-26,19863.23,18798.060046189377,20250.60144346431
2024-12-27,19725.04,18788.452655889145,19957.397754611065
2024-12-30,19830.91,19020.230946882217,19901.363271852446
2024-12-31,19331.65,18812.471131639722,19082.99919807538
2025-01-02,18777.77,18401.75519630485,18335.004009623095
2025-01-03,18571.07,18274.45727482679,18017.040898155574
2025-01-06,18613.289999999997,18419.769053117783,17903.668805132314
2025-01-07,19027.61,18539.86143187067,18742.882919005613
2025-01-08,19138.94,18695.981524249422,18783.27987169206
2025-01-09,19023.239999999998,18542.263279445728,18728.548516439452
2025-01-10,18931.26,18454.59584295612,18633.4202085004
2025-01-13,18791.52,18245.6351039261,18602.145148356056
2025-01-14,19199.809999999998,18491.824480369516,19238.0713712911
2025-01-15,19290.329999999998,18640.739030023095,19238.0713712911
2025-01-16,19119.65,18812.471131639722,18561.74819566961
2025-01-17,19217.64,18691.17782909931,18983.961507618285
2025-01-20,19160.0,18625.12702078522,18940.958299919806
2025-01-21,19290.839999999997,18621.52424942263,19268.043303929426
2025-01-22,19099.04,18297.27482678984,19281.074578989577
2025-01-23,19258.109999999997,18746.420323325634,19000.90216519647
2025-01-24,19354.879999999997,18789.653579676673,19174.21812349639
2025-01-27,19271.28,19051.454965357967,18577.38572574178
2025-02-05,19252.87,18740.41570438799,18996.992782678426
2025-02-06,19555.239999999998,18745.219399538106,19733.259823576584
2025-02-07,19550.21,18686.37413394919,19808.84121892542
2025-02-10,19683.329999999998,18709.19168591224,20102.04490777867
2025-02-11,19698.68,18880.923787528867,19883.119486768246
2025-02-12,19974.699999999997,19029.838337182446,20339.214113873295
2025-02-13,19739.46,19043.048498845266,19741.07858861267
2025-02-14,19749.15,19123.5103926097,19644.647153167603
2025-02-17,19850.19,19068.267898383372,19975.641539695265
2025-02-18,19794.22,19270.023094688222,19536.487570168403
2025-02-19,20040.579999999998,19183.556581986144,20271.451483560548
2025-02-20,19997.36,19159.538106235566,20201.082598235767
2025-02-21,20414.019999999997,18918.152424942262,21586.307137129108
2025-02-24,20396.45,18777.644341801388,21753.107457898957
2025-02-25,20354.559999999998,18631.131639722862,21869.08580593424
2025-02-26,20615.219999999998,18726.00461893764,22368.183640737767
2025-02-27,20778.71,18966.189376443417,22411.186848436246
2025-02-28,20232.82,18848.49884526559,21244.887730553328
2025-03-03,20053.08,18844.896073903,20808.34001603849
2025-03-04,20248.42,18814.87297921478,21333.500400962308
2025-03-05,20529.72,19135.519630484985,21545.91018444266
2025-03-06,20758.57,19029.838337182446,22266.539695268646
2025-03-07,20639.809999999998,19055.057736720555,21936.848436246994
2025-03-10,20542.11,18882.1247113164,21955.092221331197
2025-03-11,20597.71,19025.034642032333,21878.207698476344
2025-03-12,20514.510000000002,18970.993071593537,21754.41058540497
2025-03-13,20313.879999999997,19074.272517321016,21106.756214915797
2025-03-14,20607.68,19310.854503464205,21475.541299117882
2025-03-17,20608.67,19370.900692840645,21388.231756214915
2025-03-18,20644.949999999997,19346.882217090068,21513.3319967923
2025-03-19,20670.6,19612.28637413395,21179.731355252603
2025-03-20,20528.78,19505.404157043882,20990.777866880515
2025-03-21,20153.76,19271.22401847575,20418.704891740177
2025-03-24,20333.87,19439.353348729794,20610.264635124295
2025-03-25,20202.519999999997,19525.81986143187,20158.07939053729
2025-03-26,20051.309999999998,19244.803695150116,20206.295108259823
2025-03-27,20223.85,19332.471131639722,20499.498797113072
2025-03-28,20035.699999999997,19268.822170900694,20132.016840417
2025-03-31,20105.59,19326.466512702078,20242.782678428226
2025-04-01,20022.27,19220.78521939954,20197.17321571772
2025-04-02,20100.83,19391.316397228635,20130.713712910983
2025-04-03,20077.010000000002,19442.956120092378,19991.27906976744
2025-04-07,18764.35,18550.66974595843,18079.591018444266
2025-04-08,18998.73,18859.307159353346,18190.35685645549
2025-04-09,19263.43,18694.780600461894,19107.758620689652
2025-04-10,19438.53,18816.073903002307,19359.26222935044
2025-04-11,19832.870000000003,18865.311778290994,20271.451483560548
2025-04-14,19916.99,18978.198614318706,20307.93905372895
2025-04-15,20018.97,19265.219399538106,20120.288692862872
2025-04-16,20209.27,19460.96997690531,20294.907778668803
2025-04-17,20283.45,19474.18013856813,20460.404971932636
