date,FAPP,DIV_bench,NDX_bench,BOND_bench,GOLD_bench
2026-05-07,27456471.037685867,23544000.0,42644104.80349345,13150397.989107665,35770901.17877723
2026-05-08,27594853.898885865,23536000.0,43652838.42794759,13152149.90288304,35532534.729694195
2026-05-11,27577345.39468587,23534000.0,43759825.327510916,13159252.77068972,35317648.18401358
2026-05-12,27517276.804785866,23516000.0,43353711.79039302,13162747.07696995,35410104.48796117
2026-05-13,27618924.59278587,23536000.0,43805676.85589519,13171697.071257187,35459579.657126464
2026-05-14,27649939.119485866,23490000.000000004,44104803.49344978,13166641.27661195,35414073.595868304
2026-05-15,27342648.193885867,23342000.0,43441048.0349345,13165955.74513463,34633986.08421204
2026-05-18,27234412.382985868,23198000.0,43255458.51528384,13177923.982176179,34414040.12146427
2026-05-19,27217541.82168587,23350000.0,42958515.283842795,13191149.026926152,34355890.29959592
2026-05-20,27244129.87798587,23270000.0,43681222.70742358,13191539.399017403,33906979.41324152
2026-05-21,27262423.099985868,23152000.0,43744541.484716155,13187159.61457897,34128006.121033885
2026-05-22,27280132.12978587,23080000.0,43943231.44104803,13180932.703659974,34150759.15166296
2026-05-25,27298707.58628587,23048000.0,43906113.537117906,13187359.561259855,34316524.400449514
2026-05-26,27424936.780785866,23114000.0,44657205.240174666,13194167.269680463,34143174.80811994
2026-05-27,27327029.637585867,22974000.0,44617903.930131,13210505.769889934,33817774.90854315
2026-05-28,27230229.08968587,22864000.0,44958515.283842795,13218379.8606086,33104856.17961409
2026-05-29,27527164.58768587,23312000.0,45078602.62008734,13227139.429485468,33900121.94247185
2026-06-01,27642590.944685865,23647999.999999996,45336244.54148471,13236375.061888257,33749515.81665591
